"","0s","10s","20s","30s","40s","50s","60s","70s","80s"
"2020-03-02",0,1,9,4,5,6,4,1,1
"2020-03-03",0,1,10,4,5,7,4,2,1
"2020-03-04",0,2,12,5,6,8,5,2,1
"2020-03-05",1,4,26,10,13,17,11,4,2
"2020-03-06",1,5,32,12,15,21,13,6,3
"2020-03-07",1,6,35,13,16,22,14,7,3
"2020-03-08",1,7,39,14,18,25,16,7,4
"2020-03-09",1,9,49,18,23,31,21,10,5
"2020-03-10",2,13,73,26,34,47,31,15,7
"2020-03-11",3,15,83,30,40,55,36,18,9
"2020-03-12",3,17,96,34,47,63,41,21,10
"2020-03-13",5,27,145,53,71,97,63,32,16
"2020-03-14",7,37,202,74,100,137,88,45,23
"2020-03-15",8,44,235,86,117,160,103,54,27
"2020-03-16",12,60,319,117,158,219,141,73,37
"2020-03-17",14,73,392,144,196,270,174,91,46
"2020-03-18",16,80,429,160,214,296,194,99,52
"2020-03-19",21,101,536,201,268,373,246,128,73
"2020-03-20",25,117,610,230,308,427,284,147,85
"2020-03-21",29,136,707,267,357,496,332,175,113
"2020-03-22",33,150,783,297,399,553,370,195,128
"2020-03-23",36,163,854,324,434,601,402,212,140
"2020-03-24",41,182,946,357,479,666,445,236,156
"2020-03-25",43,194,1010,385,509,704,471,249,166
"2020-03-26",48,219,1125,428,561,779,521,276,187
"2020-03-27",52,241,1229,466,609,850,568,306,208
"2020-03-28",55,254,1303,496,649,904,610,321,219
"2020-03-29",58,267,1367,522,679,944,635,334,228
"2020-03-30",61,278,1423,542,702,981,659,346,236
"2020-03-31",62,285,1468,559,725,1023,682,360,244
"2020-04-01",65,292,1510,578,745,1050,701,370,255
"2020-04-02",70,305,1580,609,780,1097,735,387,265
"2020-04-03",72,316,1636,630,808,1129,758,400,273
"2020-04-04",76,330,1720,664,846,1182,798,422,287
"2020-04-05",78,338,1761,684,865,1202,814,430,292
"2020-04-06",81,348,1799,697,882,1223,830,440,298
"2020-04-07",82,352,1827,708,895,1237,845,446,302
"2020-04-08",82,358,1848,719,905,1250,856,452,307
"2020-04-09",86,369,1903,742,933,1282,879,463,316
"2020-04-10",88,377,1942,758,951,1308,899,473,323
"2020-04-11",90,386,1974,771,967,1331,917,480,328
"2020-04-12",91,393,2011,785,981,1353,932,489,333
"2020-04-13",93,397,2035,793,990,1365,944,493,336
"2020-04-14",94,403,2058,803,1002,1380,954,499,340
"2020-04-15",95,409,2082,813,1012,1393,963,505,344
"2020-04-16",99,418,2120,827,1031,1418,980,514,351
